,name,followers,current_viewers,days,hours,minutes,test
4150,kolento,179753,26277,1,14,30,2015-06-01 14:30:00
4311,tidesoftime,97366,380,1,15,40,2015-06-01 15:40:00
4325,tidesoftime,97366,6986,1,15,50,2015-06-01 15:50:00
4333,itshafu,312227,736,1,15,50,2015-06-01 15:50:00
4350,tidesoftime,97366,9579,1,16,0,2015-06-01 16:00:00
4355,itshafu,312227,1546,1,16,0,2015-06-01 16:00:00
4375,tidesoftime,97366,10238,1,16,10,2015-06-01 16:10:00
4377,itshafu,312227,2156,1,16,10,2015-06-01 16:10:00
4400,tidesoftime,97486,12210,1,16,20,2015-06-01 16:20:00
4402,itshafu,312224,2645,1,16,20,2015-06-01 16:20:00
4425,tidesoftime,97486,11462,1,16,30,2015-06-01 16:30:00
4426,itshafu,312224,3215,1,16,30,2015-06-01 16:30:00
4450,tidesoftime,97486,11674,1,16,40,2015-06-01 16:40:00
4451,itshafu,312224,3565,1,16,40,2015-06-01 16:40:00
4475,tidesoftime,97486,12172,1,16,50,2015-06-01 16:50:00
4476,itshafu,312224,3966,1,16,50,2015-06-01 16:50:00
4500,tidesoftime,97486,12014,1,17,0,2015-06-01 17:00:00
4501,itshafu,312224,4181,1,17,0,2015-06-01 17:00:00
4525,tidesoftime,97486,12121,1,17,10,2015-06-01 17:10:00
4526,itshafu,312224,4093,1,17,10,2015-06-01 17:10:00
4550,tidesoftime,97486,12472,1,17,20,2015-06-01 17:20:00
4551,itshafu,312280,4343,1,17,20,2015-06-01 17:20:00
4575,tidesoftime,97486,13276,1,17,30,2015-06-01 17:30:00
4576,itshafu,312280,4430,1,17,30,2015-06-01 17:30:00
4600,tidesoftime,97486,13807,1,17,40,2015-06-01 17:40:00
4601,itshafu,312280,4505,1,17,40,2015-06-01 17:40:00
4625,tidesoftime,97486,13615,1,17,50,2015-06-01 17:50:00
4626,itshafu,312280,4660,1,17,50,2015-06-01 17:50:00
4650,tidesoftime,97486,13700,1,18,0,2015-06-01 18:00:00
4651,itshafu,312280,4525,1,18,0,2015-06-01 18:00:00
4675,tidesoftime,97486,13632,1,18,10,2015-06-01 18:10:00
4676,itshafu,312280,4795,1,18,10,2015-06-01 18:10:00
4700,tidesoftime,97827,13134,1,18,20,2015-06-01 18:20:00
4701,itshafu,312314,4791,1,18,20,2015-06-01 18:20:00
4725,tidesoftime,97827,13942,1,18,30,2015-06-01 18:30:00
4726,itshafu,312314,4741,1,18,30,2015-06-01 18:30:00
4750,tidesoftime,97827,13426,1,18,40,2015-06-01 18:40:00
4751,itshafu,312314,4723,1,18,40,2015-06-01 18:40:00
4775,tidesoftime,97827,13171,1,18,50,2015-06-01 18:50:00
4776,itshafu,312314,4794,1,18,50,2015-06-01 18:50:00
4800,tidesoftime,97827,13518,1,19,0,2015-06-01 19:00:00
4801,itshafu,312314,4949,1,19,0,2015-06-01 19:00:00
4825,tidesoftime,97827,13228,1,19,10,2015-06-01 19:10:00
4826,itshafu,312314,4642,1,19,10,2015-06-01 19:10:00
4850,tidesoftime,97992,12111,1,19,20,2015-06-01 19:20:00
4851,itshafu,312386,5163,1,19,20,2015-06-01 19:20:00
4875,tidesoftime,97992,12140,1,19,30,2015-06-01 19:30:00
4876,itshafu,312386,5307,1,19,30,2015-06-01 19:30:00
4900,tidesoftime,97992,12411,1,19,40,2015-06-01 19:40:00
4901,itshafu,312386,5452,1,19,40,2015-06-01 19:40:00
4925,tidesoftime,97992,12459,1,20,0,2015-06-01 20:00:00
4926,itshafu,312386,5600,1,20,0,2015-06-01 20:00:00
4950,tidesoftime,98142,13410,1,20,30,2015-06-01 20:30:00
4951,itshafu,312445,5422,1,20,30,2015-06-01 20:30:00
4975,tidesoftime,98142,14404,1,20,40,2015-06-01 20:40:00
4976,itshafu,312445,5511,1,20,40,2015-06-01 20:40:00
5000,tidesoftime,98142,12901,1,20,50,2015-06-01 20:50:00
5001,itshafu,312445,5477,1,20,50,2015-06-01 20:50:00
5025,tidesoftime,98142,14009,1,21,0,2015-06-01 21:00:00
5026,itshafu,312445,4990,1,21,0,2015-06-01 21:00:00
5050,tidesoftime,98142,13170,1,21,10,2015-06-01 21:10:00
5051,itshafu,312445,5394,1,21,10,2015-06-01 21:10:00
5075,tidesoftime,98269,13581,1,21,20,2015-06-01 21:20:00
5076,itshafu,312518,5785,1,21,20,2015-06-01 21:20:00
5100,tidesoftime,98269,13943,1,21,30,2015-06-01 21:30:00
5101,itshafu,312518,5631,1,21,30,2015-06-01 21:30:00
5125,tidesoftime,98269,13611,1,21,40,2015-06-01 21:40:00
5126,itshafu,312518,5665,1,21,40,2015-06-01 21:40:00
5150,tidesoftime,98269,14564,1,22,0,2015-06-01 22:00:00
5151,itshafu,312518,5725,1,22,0,2015-06-01 22:00:00
5175,tidesoftime,98269,14414,1,22,10,2015-06-01 22:10:00
5176,itshafu,312518,5834,1,22,10,2015-06-01 22:10:00
5200,tidesoftime,98427,14054,1,22,30,2015-06-01 22:30:00
5201,itshafu,312567,5897,1,22,30,2015-06-01 22:30:00
5225,tidesoftime,98427,13516,1,22,40,2015-06-01 22:40:00
5226,itshafu,312567,5531,1,22,40,2015-06-01 22:40:00
5250,tidesoftime,98427,12806,1,22,50,2015-06-01 22:50:00
5251,itshafu,312567,5650,1,22,50,2015-06-01 22:50:00
5275,tidesoftime,98427,14073,1,23,0,2015-06-01 23:00:00
5276,itshafu,312567,5719,1,23,0,2015-06-01 23:00:00
5300,tidesoftime,98427,13935,1,23,10,2015-06-01 23:10:00
5301,itshafu,312567,5080,1,23,10,2015-06-01 23:10:00
5325,tidesoftime,98637,14230,1,23,20,2015-06-01 23:20:00
5326,itshafu,312642,5578,1,23,20,2015-06-01 23:20:00
5350,tidesoftime,98637,13194,1,23,30,2015-06-01 23:30:00
5351,itshafu,312642,5769,1,23,30,2015-06-01 23:30:00
5375,tidesoftime,98637,13135,1,23,40,2015-06-01 23:40:00
5376,itshafu,312642,5905,1,23,40,2015-06-01 23:40:00
5400,tidesoftime,98637,12797,1,23,50,2015-06-01 23:50:00
5401,itshafu,312642,6361,1,23,50,2015-06-01 23:50:00
5425,tidesoftime,98637,12358,2,0,0,2015-06-02 00:00:00
5426,itshafu,312642,6607,2,0,0,2015-06-02 00:00:00
5450,tidesoftime,98637,13478,2,0,10,2015-06-02 00:10:00
5451,itshafu,312642,6337,2,0,10,2015-06-02 00:10:00
5475,tidesoftime,98765,12992,2,0,20,2015-06-02 00:20:00
5476,itshafu,312728,6332,2,0,20,2015-06-02 00:20:00
5500,tidesoftime,98765,13480,2,0,30,2015-06-02 00:30:00
5501,itshafu,312728,6202,2,0,30,2015-06-02 00:30:00
5525,tidesoftime,98765,13645,2,0,40,2015-06-02 00:40:00
5526,itshafu,312728,5920,2,0,40,2015-06-02 00:40:00
5550,tidesoftime,98765,13962,2,0,50,2015-06-02 00:50:00
5551,itshafu,312756,5308,2,0,50,2015-06-02 00:50:00
5575,tidesoftime,98765,15097,2,1,0,2015-06-02 01:00:00
5600,tidesoftime,98765,15148,2,1,10,2015-06-02 01:10:00
5625,tidesoftime,98923,14667,2,1,20,2015-06-02 01:20:00
5650,tidesoftime,98923,14942,2,1,30,2015-06-02 01:30:00
5675,tidesoftime,98923,15656,2,1,40,2015-06-02 01:40:00
5700,tidesoftime,98923,15445,2,1,50,2015-06-02 01:50:00
5725,tidesoftime,98923,15682,2,2,0,2015-06-02 02:00:00
5750,tidesoftime,98923,15701,2,2,10,2015-06-02 02:10:00
5775,tidesoftime,99138,16806,2,2,20,2015-06-02 02:20:00
5800,tidesoftime,99138,16581,2,2,30,2015-06-02 02:30:00
5825,tidesoftime,99138,16160,2,2,40,2015-06-02 02:40:00
5850,tidesoftime,99138,16733,2,2,50,2015-06-02 02:50:00
5875,tidesoftime,99138,16309,2,3,0,2015-06-02 03:00:00
5900,tidesoftime,99138,16954,2,3,10,2015-06-02 03:10:00
5924,ek0p,35866,68,2,3,10,2015-06-02 03:10:00
5925,tidesoftime,99353,17906,2,3,20,2015-06-02 03:20:00
5939,ek0p,35865,131,2,3,20,2015-06-02 03:20:00
5950,tidesoftime,99353,17283,2,3,30,2015-06-02 03:30:00
5952,massansc,167909,1835,2,3,30,2015-06-02 03:30:00
5963,ek0p,35865,188,2,3,30,2015-06-02 03:30:00
5975,tidesoftime,99353,17142,2,3,40,2015-06-02 03:40:00
5976,massansc,167909,6014,2,3,40,2015-06-02 03:40:00
5989,ek0p,35865,212,2,3,40,2015-06-02 03:40:00
6000,tidesoftime,99353,17574,2,3,50,2015-06-02 03:50:00
6001,massansc,167921,4128,2,3,50,2015-06-02 03:50:00
6014,ek0p,35865,198,2,3,50,2015-06-02 03:50:00
6025,tidesoftime,99353,18417,2,4,0,2015-06-02 04:00:00
6026,massansc,167921,6877,2,4,0,2015-06-02 04:00:00
6039,ek0p,35865,205,2,4,0,2015-06-02 04:00:00
6050,tidesoftime,99353,17836,2,4,10,2015-06-02 04:10:00
6051,massansc,167921,7891,2,4,10,2015-06-02 04:10:00
6065,ek0p,35865,234,2,4,10,2015-06-02 04:10:00
6075,tidesoftime,99575,17488,2,4,20,2015-06-02 04:20:00
6076,massansc,167952,8378,2,4,20,2015-06-02 04:20:00
6090,ek0p,35866,270,2,4,20,2015-06-02 04:20:00
6100,tidesoftime,99575,16511,2,4,30,2015-06-02 04:30:00
6101,massansc,167952,9016,2,4,30,2015-06-02 04:30:00
6114,ek0p,35866,284,2,4,30,2015-06-02 04:30:00
6125,tidesoftime,99575,16778,2,4,40,2015-06-02 04:40:00
6126,massansc,167952,8949,2,4,40,2015-06-02 04:40:00
6139,ek0p,35866,278,2,4,40,2015-06-02 04:40:00
6150,tidesoftime,99575,16457,2,4,50,2015-06-02 04:50:00
6151,massansc,167952,9574,2,4,50,2015-06-02 04:50:00
6164,ek0p,35866,273,2,4,50,2015-06-02 04:50:00
6175,tidesoftime,99575,16718,2,5,0,2015-06-02 05:00:00
6176,massansc,167952,9924,2,5,0,2015-06-02 05:00:00
6188,ek0p,35866,275,2,5,0,2015-06-02 05:00:00
6200,tidesoftime,99575,16321,2,5,10,2015-06-02 05:10:00
6201,massansc,168010,10220,2,5,10,2015-06-02 05:10:00
6213,ek0p,35866,271,2,5,10,2015-06-02 05:10:00
6225,tidesoftime,99760,17197,2,5,20,2015-06-02 05:20:00
6226,massansc,168020,10249,2,5,20,2015-06-02 05:20:00
6237,ek0p,35867,307,2,5,20,2015-06-02 05:20:00
6250,tidesoftime,99760,14361,2,5,40,2015-06-02 05:40:00
6251,massansc,168020,11563,2,5,40,2015-06-02 05:40:00
6263,ek0p,35867,393,2,5,40,2015-06-02 05:40:00
6275,tidesoftime,99760,14645,2,5,50,2015-06-02 05:50:00
6276,massansc,168020,11731,2,5,50,2015-06-02 05:50:00
6286,ek0p,35867,441,2,5,50,2015-06-02 05:50:00
6300,tidesoftime,99760,14001,2,6,0,2015-06-02 06:00:00
6301,massansc,168020,11981,2,6,0,2015-06-02 06:00:00
6311,ek0p,35867,451,2,6,0,2015-06-02 06:00:00
6325,tidesoftime,99760,14136,2,6,10,2015-06-02 06:10:00
6326,massansc,168066,12702,2,6,10,2015-06-02 06:10:00
6336,ek0p,35867,469,2,6,10,2015-06-02 06:10:00
6350,tidesoftime,99892,14159,2,6,20,2015-06-02 06:20:00
6351,massansc,168086,12875,2,6,20,2015-06-02 06:20:00
6361,ek0p,35864,509,2,6,20,2015-06-02 06:20:00
6375,tidesoftime,99892,14262,2,6,30,2015-06-02 06:30:00
6376,massansc,168086,12646,2,6,30,2015-06-02 06:30:00
6387,ek0p,35864,529,2,6,30,2015-06-02 06:30:00
6400,massansc,168086,15208,2,6,40,2015-06-02 06:40:00
6412,ek0p,35864,567,2,6,40,2015-06-02 06:40:00
6425,massansc,168086,16084,2,6,50,2015-06-02 06:50:00
6436,ek0p,35864,593,2,6,50,2015-06-02 06:50:00
6450,massansc,168086,16762,2,7,0,2015-06-02 07:00:00
6460,ek0p,35864,614,2,7,0,2015-06-02 07:00:00
6475,massansc,168086,17123,2,7,10,2015-06-02 07:10:00
6486,ek0p,35864,582,2,7,10,2015-06-02 07:10:00
6500,massansc,168235,17323,2,7,30,2015-06-02 07:30:00
6511,ek0p,35875,512,2,7,30,2015-06-02 07:30:00
6525,massansc,168235,17061,2,7,40,2015-06-02 07:40:00
6537,ek0p,35875,493,2,7,40,2015-06-02 07:40:00
6550,massansc,168235,17979,2,7,50,2015-06-02 07:50:00
6563,ek0p,35875,504,2,7,50,2015-06-02 07:50:00
6575,massansc,168235,16198,2,8,10,2015-06-02 08:10:00
6589,ek0p,35875,472,2,8,10,2015-06-02 08:10:00
6600,massansc,168361,16314,2,8,20,2015-06-02 08:20:00
6617,ek0p,35879,374,2,8,20,2015-06-02 08:20:00
6625,massansc,168361,16005,2,8,30,2015-06-02 08:30:00
6641,ek0p,35879,365,2,8,30,2015-06-02 08:30:00
6650,massansc,168361,15610,2,8,40,2015-06-02 08:40:00
6666,ek0p,35879,376,2,8,40,2015-06-02 08:40:00
6690,ek0p,35879,354,2,8,50,2015-06-02 08:50:00
6715,ek0p,35879,347,2,9,0,2015-06-02 09:00:00
6742,ek0p,35879,360,2,9,10,2015-06-02 09:10:00
6767,ek0p,35877,342,2,9,20,2015-06-02 09:20:00
